First Name,Last Name,Gender,City,County,State,Phone,Specialty
Ravi,Adusumilli,M,Hyderabad,Unknown,TS,040-1234567,Cardiologist
Manisha,Sharma,F,Mumbai,Unknown,MH,022-9876543,Dermatologist
Vikram,Singh,M,New Delhi,Unknown,DL,011-3456789,Pediatrician
Ananya,Patel,F,Ahmedabad,Unknown,GJ,079-2345678,General Physician
Siddharth,Reddy,M,Bengaluru,Unknown,KA,080-4567891,Orthopedic Surgeon
Neha,Gupta,F,Kolkata,Unknown,WB,033-8765432,Obstetrician/Gynecologist
Ajay,Kumar,M,Chennai,Unknown,TN,044-7654321,Ophthalmologist
Priya,Singhania,F,Pune,Unknown,MH,020-6543210,Psychiatrist
Rohan,Verma,M,Jaipur,Unknown,RJ,0141-9876543,Urologist
Shreya,Desai,F,Surat,Unknown,GJ,0261-8765432,ENT Specialist
Rajesh,Shah,M,Vadodara,Unknown,GJ,0265-7654321,Neurologist
Aarti,Patel,F,Lucknow,Unknown,UP,0522-6543210,Oncologist
Rahul,Jain,M,Nagpur,Unknown,MH,0712-9876543,Pulmonologist
Nisha,Reddy,F,Visakhapatnam,Unknown,AP,0891-8765432,Rheumatologist
Sanjay,Sharma,M,Kanpur,Unknown,UP,0512-7654321,Endocrinologist
